
   THE FOLLOWING TABLE IS PRINTED FOR ALL ELEMENTS WITH TYPE C3D8 AVERAGED AT THE NODES

       NODE  FOOT-   S11         S22         S33         S12         S13         S23     
             NOTE 

          89       -104.8       287.4      -320.6       41.60       28.43      -960.0
          90       -97.88      -31.21      -683.0       45.02      0.6838      -942.4
          91        108.9      -167.3       53.19       79.46       10.60      -897.4
          92       -20.91      -471.9      -346.4       108.9      -8.019      -843.3
          93       -101.7      -618.6      -474.6       38.57      -51.25      -800.7
          94       -61.15      -979.3      -600.1       46.87      -45.68      -719.5
          95        17.50      -830.5      -146.4       61.01      -29.17      -593.5
          96        8.217      -1141.       32.33       32.17      -7.277      -467.2
          97        9.340      -1130.      -239.8       19.25      0.5745      -355.4
          98       -220.2      -1256.      -777.3       26.33      -10.03      -211.5
          99        201.6      -724.2       672.0       170.1      -11.43      -149.6
         100        65.34      -679.4       808.0       174.7       9.940      -274.6
         101        330.9      -409.9       688.4       210.5       18.82      -367.2
         102        96.07      -404.7       851.2       192.2       9.263      -448.8
         103        128.6      -463.9       543.8       189.9      -5.363      -530.7
         104        90.23      -246.3       615.6       174.9      -36.87      -618.3
         105        186.9      -105.8       691.2       141.3      -3.876      -666.0
         106        284.3       12.65       1174.       146.8      -7.049      -738.0
         107        69.42      0.5298       346.2       100.9      -41.03      -764.8
         108        83.85       39.81       676.9       69.89      -71.45      -761.8
         109        102.9       121.2       575.9       3.933      -72.32      -733.6
         110        207.0       192.4       754.1      -26.65      -75.89      -750.8
         111        270.2       394.3       591.2      -58.28      -114.7      -747.5
         112        225.7       413.6       471.8      -112.3      -144.9      -716.5
         113        193.2       459.6       416.2      -121.7      -158.6      -668.8
         114        225.6       523.4       555.7      -181.3      -170.3      -647.5
         115        402.0       673.0       506.9      -242.8      -182.2      -596.9
         116        470.0       755.7       577.7      -303.0      -199.5      -527.0
         117        285.5       648.0       283.4      -369.9      -219.8      -467.5
         118        276.3       555.4       227.1      -437.2      -213.6      -427.2
         119        771.0       646.8       552.2      -472.2      -199.3      -382.6
         120        475.6       561.9       426.7      -511.6      -192.6      -336.2
         121        457.5       580.9       380.5      -585.1      -202.6      -275.2
         122        380.6       499.7       271.5      -636.6      -210.0      -214.5
         123        649.0       547.8       273.2      -661.5      -189.3      -160.2
         124        611.6       495.3       200.8      -670.1      -142.6      -121.5
         125        548.2       427.1       208.1      -697.1      -154.1      -89.89
         126        460.5       372.9       180.9      -708.6      -144.4      -63.69
         127        791.1       325.5       260.5      -693.9      -130.0      -24.21
         128        764.7       132.3       211.3      -631.1      -117.6       21.05
         129        629.2       18.57       154.1      -626.8      -92.52       26.83
         130        1152.       13.24       247.2      -616.0      -39.99       22.79
         131        356.0      -128.4      -3.431      -555.3      -60.04       84.33
         132        485.7      -202.1       85.38      -495.9      -46.27       127.1
         133        521.2      -146.5       174.8      -451.9      -45.23       118.2
         134        897.4      -207.2       185.0      -382.2      -47.55       125.0
         135        828.5      -204.4       223.6      -305.9      -8.031       132.0
         136        641.8      -487.4       170.6      -260.4      -6.735       151.6
         137        644.2      -546.5       115.2      -188.7      -26.82       167.4
         138        530.1      -567.5       227.6      -110.5      -14.81       141.8
         139       -34.81      -381.0      -215.6       46.33       59.27       39.00
         140        560.2      -106.0      -136.3       44.65       49.34       40.36
         141       -112.7      -163.6      -180.1       108.4      -45.71       27.71
         142       -729.6      -283.3      -340.9       7.881       114.4       75.40
         143        178.2      -110.4      -166.6       38.32       142.8      -14.50
         144       -6.136      -227.1      -439.7       104.1       85.24      -17.04
         145       -195.0      -260.7      -319.5       117.4       73.08       17.29
         146       -315.5      -153.3      -316.9       126.7       81.79       13.95
         147       -205.8      -157.4      -398.0       13.45       116.5      -39.14
         148        146.3      -5.717      -340.6       7.499       153.6      -88.86
         149        162.9      -125.2      -319.7       124.1       79.89      -96.19
         150       -60.81      -105.8      -469.3       86.43       76.90      -82.63
         151       -269.3      -383.2      -460.4       40.96       56.54      -66.08
         152        169.4      -173.4      -330.5       3.782       58.75      -84.66
         153       -281.4      -106.4      -436.0       2.297       83.59      -120.9
         154        55.39      -16.91      -345.9      -17.84       51.37      -155.5
         155       -221.6      -347.2      -405.9     -0.8236      -3.872      -118.4
         156       -343.4      -164.6      -403.5      -29.44       5.700      -74.23
         157       -305.3      -262.7      -545.8      -50.78      -1.004      -88.58
         158       -279.9      -215.7      -367.9      -45.57      -16.35      -72.35
         159       -283.9      -98.85      -288.7      -64.54      -10.37      -49.23
         160       -322.0      -21.27      -209.9      -92.48     -0.8453      -1.999
         161       -302.2      -17.94      -75.98      -177.4       34.92      -67.44
         162       -306.6       21.50      -128.1      -132.8       51.08      -68.38
         163       -221.1      -20.13      -6.746      -105.6       64.89      -56.56
         164       -430.5      -17.10      -279.4      -77.93       31.22       7.760
         165       -424.3      -5.946      -59.40      -141.7       43.81       49.22
         166       -371.4      -166.1       26.90      -133.2       107.2       38.41
         167       -360.7       3.139      -2.966      -88.21       94.24       47.33
         168       -447.7      -312.6      -284.8      -83.10       108.4       68.65
